"ym","mdl","variable","value"
2016-01-01,"lead","V1",987840
2016-02-01,"lead","V1",1096662.85021863
2016-03-01,"lead","V1",1220730.80046437
2016-04-01,"lead","V1",1358487.34166073
2016-05-01,"lead","V1",1525266.09912003
2016-06-01,"lead","V1",1695810.3461287
2016-07-01,"lead","V1",1896531.39894816
2016-08-01,"lead","V1",2105251.9987901
2016-09-01,"lead","V1",2345697.66148938
2016-10-01,"lead","V1",2607390.19308811
2016-11-01,"lead","V1",2894718.50446915
2016-12-01,"lead","V1",3207444.5955306
2017-01-01,"lead","V1",3464083.90374936
2017-02-01,"lead","V1",3747126.86603955
2017-03-01,"lead","V1",4068781.56147327
2017-04-01,"lead","V1",4391250.24475452
2017-05-01,"lead","V1",4727279.99493493
2017-06-01,"lead","V1",5098974.45562792
2017-07-01,"lead","V1",5565420.17300253
2017-08-01,"lead","V1",5985634.72815791
2017-09-01,"lead","V1",6560010.6614658
2017-10-01,"lead","V1",7075370.5598704
2017-11-01,"lead","V1",7697064.61315026
2017-12-01,"lead","V1",8373678.91938826
2018-01-01,"lead","V1",8650457.30658617
2018-02-01,"lead","V1",8932712.5792674
2018-03-01,"lead","V1",9235420.83367974
2018-04-01,"lead","V1",9505366.16611608
2018-05-01,"lead","V1",9810868.5305115
2018-06-01,"lead","V1",10071828.6076589
2018-07-01,"lead","V1",10456197.6716165
2018-08-01,"lead","V1",10782484.6626646
2018-09-01,"lead","V1",11201018.3366193
2018-10-01,"lead","V1",11572510.8555836
2018-11-01,"lead","V1",11815899.5387347
2018-12-01,"lead","V1",12140223.607178
2016-01-01,"lead","V2",987840
2016-02-01,"lead","V2",1096759.47898036
2016-03-01,"lead","V2",1225691.07552745
2016-04-01,"lead","V2",1366057.88969657
2016-05-01,"lead","V2",1532614.98426347
2016-06-01,"lead","V2",1697984.31841663
2016-07-01,"lead","V2",1889892.79141083
2016-08-01,"lead","V2",2115454.13984006
2016-09-01,"lead","V2",2336878.75618181
2016-10-01,"lead","V2",2598474.69139855
2016-11-01,"lead","V2",2894713.44978657
2016-12-01,"lead","V2",3260998.65018947
2017-01-01,"lead","V2",3522756.03181652
2017-02-01,"lead","V2",3825967.38629946
2017-03-01,"lead","V2",4133828.95482556
2017-04-01,"lead","V2",4453262.96803466
2017-05-01,"lead","V2",4807836.18873312
2017-06-01,"lead","V2",5204888.0979155
2017-07-01,"lead","V2",5619744.69154133
2017-08-01,"lead","V2",6109320.52377285
2017-09-01,"lead","V2",6576939.45916781
2017-10-01,"lead","V2",7160136.12051314
2017-11-01,"lead","V2",7717071.17459382
2017-12-01,"lead","V2",8376054.74984841
2018-01-01,"lead","V2",8657109.96067572
2018-02-01,"lead","V2",8946777.79203244
2018-03-01,"lead","V2",9192325.29424504
2018-04-01,"lead","V2",9483693.81651269
2018-05-01,"lead","V2",9765844.17117838
2018-06-01,"lead","V2",10110966.0628342
2018-07-01,"lead","V2",10466552.8605398
2018-08-01,"lead","V2",10810831.2105959
2018-09-01,"lead","V2",11106155.7213552
2018-10-01,"lead","V2",11508485.9092235
2018-11-01,"lead","V2",11841280.905242
2018-12-01,"lead","V2",12292933.1670595
2016-01-01,"lead","V3",987840
2016-02-01,"lead","V3",1100655.19895688
2016-03-01,"lead","V3",1216827.55377849
2016-04-01,"lead","V3",1348197.03867571
2016-05-01,"lead","V3",1510384.4167512
2016-06-01,"lead","V3",1670869.98635426
2016-07-01,"lead","V3",1860887.29528992
2016-08-01,"lead","V3",2069823.29114783
2016-09-01,"lead","V3",2303931.57418283
2016-10-01,"lead","V3",2576407.4106316
2016-11-01,"lead","V3",2850568.85888672
2016-12-01,"lead","V3",3194380.75003461
2017-01-01,"lead","V3",3461348.69091238
2017-02-01,"lead","V3",3738940.00209089
2017-03-01,"lead","V3",4024723.75450227
2017-04-01,"lead","V3",4362165.12236009
2017-05-01,"lead","V3",4716955.18482256
2017-06-01,"lead","V3",5100728.36740033
2017-07-01,"lead","V3",5524411.76191309
2017-08-01,"lead","V3",6010539.17647168
2017-09-01,"lead","V3",6469088.41890331
2017-10-01,"lead","V3",6963369.64090842
2017-11-01,"lead","V3",7590231.9858052
2017-12-01,"lead","V3",8158546.96020697
2018-01-01,"lead","V3",8372579.36047883
2018-02-01,"lead","V3",8683407.48788181
2018-03-01,"lead","V3",9029783.011558
2018-04-01,"lead","V3",9305142.32818631
2018-05-01,"lead","V3",9570096.97708593
2018-06-01,"lead","V3",9853910.14310086
2018-07-01,"lead","V3",10054756.224017
2018-08-01,"lead","V3",10322479.8288744
2018-09-01,"lead","V3",10746927.8591544
2018-10-01,"lead","V3",11105970.4156368
2018-11-01,"lead","V3",11469824.5137038
2018-12-01,"lead","V3",11800156.8847168
2016-01-01,"lead","V4",987840
2016-02-01,"lead","V4",1095289.58311598
2016-03-01,"lead","V4",1213089.21783687
2016-04-01,"lead","V4",1343336.29566407
2016-05-01,"lead","V4",1505503.13839716
2016-06-01,"lead","V4",1681295.29666272
2016-07-01,"lead","V4",1876089.5994505
2016-08-01,"lead","V4",2096760.75886186
2016-09-01,"lead","V4",2339503.17654206
2016-10-01,"lead","V4",2597343.79517922
2016-11-01,"lead","V4",2905191.37204848
2016-12-01,"lead","V4",3246072.04927902
2017-01-01,"lead","V4",3524670.46450312
2017-02-01,"lead","V4",3800119.92508972
2017-03-01,"lead","V4",4090945.98179301
2017-04-01,"lead","V4",4444021.337604
2017-05-01,"lead","V4",4798006.5638432
2017-06-01,"lead","V4",5199407.94122873
2017-07-01,"lead","V4",5619139.38316781
2017-08-01,"lead","V4",6080112.70971429
2017-09-01,"lead","V4",6544706.86541487
2017-10-01,"lead","V4",7062447.72609629
2017-11-01,"lead","V4",7640546.43914851
2017-12-01,"lead","V4",8307844.57060193
2018-01-01,"lead","V4",8532500.99657333
2018-02-01,"lead","V4",8777285.1334578
2018-03-01,"lead","V4",9074549.91855996
2018-04-01,"lead","V4",9268565.78991669
2018-05-01,"lead","V4",9585033.6099709
2018-06-01,"lead","V4",9873832.94884129
2018-07-01,"lead","V4",10210544.5703074
2018-08-01,"lead","V4",10507198.4380137
2018-09-01,"lead","V4",10809606.6643272
2018-10-01,"lead","V4",11173756.683442
2018-11-01,"lead","V4",11540295.628453
2018-12-01,"lead","V4",11929839.3806932
2016-01-01,"lead","V5",987840
2016-02-01,"lead","V5",1099734.40044016
2016-03-01,"lead","V5",1221530.6131707
2016-04-01,"lead","V5",1354524.3456103
2016-05-01,"lead","V5",1507553.03988691
2016-06-01,"lead","V5",1668667.2535361
2016-07-01,"lead","V5",1853486.54226872
2016-08-01,"lead","V5",2057479.30406635
2016-09-01,"lead","V5",2282718.41362109
2016-10-01,"lead","V5",2553748.49854059
2016-11-01,"lead","V5",2842718.4772416
2016-12-01,"lead","V5",3164823.52301163
2017-01-01,"lead","V5",3455743.92716627
2017-02-01,"lead","V5",3729387.7089056
2017-03-01,"lead","V5",4026728.37649351
2017-04-01,"lead","V5",4347792.61108678
2017-05-01,"lead","V5",4681529.65563803
2017-06-01,"lead","V5",5078264.05795534
2017-07-01,"lead","V5",5476969.8185335
2017-08-01,"lead","V5",5924381.31494037
2017-09-01,"lead","V5",6428047.58325935
2017-10-01,"lead","V5",6942289.24512954
2017-11-01,"lead","V5",7488089.6312154
2017-12-01,"lead","V5",8175323.43658797
2018-01-01,"lead","V5",8426169.82307732
2018-02-01,"lead","V5",8735148.13461918
2018-03-01,"lead","V5",8960677.22455967
2018-04-01,"lead","V5",9220623.65215728
2018-05-01,"lead","V5",9431320.89309129
2018-06-01,"lead","V5",9716944.47154339
2018-07-01,"lead","V5",10002392.8703863
2018-08-01,"lead","V5",10294799.4281338
2018-09-01,"lead","V5",10609574.3069849
2018-10-01,"lead","V5",10891720.6646254
2018-11-01,"lead","V5",11234692.6591875
2018-12-01,"lead","V5",11598501.9692639
2016-01-01,"lead","V6",987840
2016-02-01,"lead","V6",1092310.60315382
2016-03-01,"lead","V6",1215258.186487
2016-04-01,"lead","V6",1339809.22397768
2016-05-01,"lead","V6",1502667.76269959
2016-06-01,"lead","V6",1689143.10924347
2016-07-01,"lead","V6",1869024.25708013
2016-08-01,"lead","V6",2077819.56631365
2016-09-01,"lead","V6",2319741.19769991
2016-10-01,"lead","V6",2576150.76222573
2016-11-01,"lead","V6",2865958.24883093
2016-12-01,"lead","V6",3201465.46155361
2017-01-01,"lead","V6",3446793.72414197
2017-02-01,"lead","V6",3719446.04161536
2017-03-01,"lead","V6",4017640.34161523
2017-04-01,"lead","V6",4334311.97568308
2017-05-01,"lead","V6",4684932.9903142
2017-06-01,"lead","V6",5045463.33845067
2017-07-01,"lead","V6",5448290.27704979
2017-08-01,"lead","V6",5876184.51844658
2017-09-01,"lead","V6",6367522.63923964
2017-10-01,"lead","V6",6874234.401059
2017-11-01,"lead","V6",7450696.25425298
2017-12-01,"lead","V6",8103010.36222678
2018-01-01,"lead","V6",8362498.41155613
2018-02-01,"lead","V6",8609431.45382788
2018-03-01,"lead","V6",8849088.57640984
2018-04-01,"lead","V6",9109483.10396741
2018-05-01,"lead","V6",9387861.00852278
2018-06-01,"lead","V6",9648758.2887093
2018-07-01,"lead","V6",9954660.58963083
2018-08-01,"lead","V6",10183931.2954167
2018-09-01,"lead","V6",10473041.3620467
2018-10-01,"lead","V6",10770327.987144
2018-11-01,"lead","V6",10968632.7510187
2018-12-01,"lead","V6",11310526.6854974
2016-01-01,"lead","V7",987840
2016-02-01,"lead","V7",1112675.65852542
2016-03-01,"lead","V7",1239261.43111151
2016-04-01,"lead","V7",1375738.66857992
2016-05-01,"lead","V7",1530175.45550828
2016-06-01,"lead","V7",1706590.24301109
2016-07-01,"lead","V7",1916235.02356262
2016-08-01,"lead","V7",2136784.48842862
2016-09-01,"lead","V7",2361676.29835169
2016-10-01,"lead","V7",2660027.74324351
2016-11-01,"lead","V7",2962367.66689424
2016-12-01,"lead","V7",3273459.18215328
2017-01-01,"lead","V7",3533205.67627367
2017-02-01,"lead","V7",3832029.47458008
2017-03-01,"lead","V7",4131089.81061058
2017-04-01,"lead","V7",4461233.91199852
2017-05-01,"lead","V7",4811532.51853309
2017-06-01,"lead","V7",5215235.38528764
2017-07-01,"lead","V7",5618950.58055111
2017-08-01,"lead","V7",6111918.44682765
2017-09-01,"lead","V7",6609974.80055317
2017-10-01,"lead","V7",7172986.87346869
2017-11-01,"lead","V7",7783277.18536299
2017-12-01,"lead","V7",8399259.24214218
2018-01-01,"lead","V7",8640948.5849132
2018-02-01,"lead","V7",8828252.35507058
2018-03-01,"lead","V7",9072651.42149296
2018-04-01,"lead","V7",9318367.66027372
2018-05-01,"lead","V7",9644631.29500133
2018-06-01,"lead","V7",9907242.68246077
2018-07-01,"lead","V7",10261498.6798703
2018-08-01,"lead","V7",10522369.5214523
2018-09-01,"lead","V7",10949121.0915535
2018-10-01,"lead","V7",11144341.0380832
2018-11-01,"lead","V7",11469456.2505093
2018-12-01,"lead","V7",11807075.2961218
2016-01-01,"lead","V8",987840
2016-02-01,"lead","V8",1107337.46878064
2016-03-01,"lead","V8",1232137.50910599
2016-04-01,"lead","V8",1360629.58949913
2016-05-01,"lead","V8",1525575.52136114
2016-06-01,"lead","V8",1701317.48483953
2016-07-01,"lead","V8",1891260.83548874
2016-08-01,"lead","V8",2106139.32943261
2016-09-01,"lead","V8",2328223.85169967
2016-10-01,"lead","V8",2595962.60383377
2016-11-01,"lead","V8",2907128.8379761
2016-12-01,"lead","V8",3224695.43116333
2017-01-01,"lead","V8",3455523.7990714
2017-02-01,"lead","V8",3778044.21555836
2017-03-01,"lead","V8",4067239.14803837
2017-04-01,"lead","V8",4380115.15757535
2017-05-01,"lead","V8",4734539.88354761
2017-06-01,"lead","V8",5147109.47978064
2017-07-01,"lead","V8",5568972.93641332
2017-08-01,"lead","V8",6037249.84906237
2017-09-01,"lead","V8",6551417.07413004
2017-10-01,"lead","V8",7094071.18128799
2017-11-01,"lead","V8",7688440.69444484
2017-12-01,"lead","V8",8254514.01986298
2018-01-01,"lead","V8",8527786.42933353
2018-02-01,"lead","V8",8796964.19830562
2018-03-01,"lead","V8",9073559.55183937
2018-04-01,"lead","V8",9405461.49916692
2018-05-01,"lead","V8",9681979.56481615
2018-06-01,"lead","V8",9983218.99831573
2018-07-01,"lead","V8",10235182.5034473
2018-08-01,"lead","V8",10513749.4110455
2018-09-01,"lead","V8",10854973.5629384
2018-10-01,"lead","V8",11218744.5600451
2018-11-01,"lead","V8",11602964.7221045
2018-12-01,"lead","V8",11768671.7075113
2016-01-01,"lead","V9",987840
2016-02-01,"lead","V9",1101858.08088849
2016-03-01,"lead","V9",1225674.83291972
2016-04-01,"lead","V9",1373783.32781521
2016-05-01,"lead","V9",1526098.11386384
2016-06-01,"lead","V9",1701701.28966131
2016-07-01,"lead","V9",1902814.52329569
2016-08-01,"lead","V9",2119434.78294367
2016-09-01,"lead","V9",2350350.03397501
2016-10-01,"lead","V9",2625645.31799183
2016-11-01,"lead","V9",2920221.52693535
2016-12-01,"lead","V9",3247593.27302435
2017-01-01,"lead","V9",3523414.43786945
2017-02-01,"lead","V9",3818716.89702941
2017-03-01,"lead","V9",4135985.23457175
2017-04-01,"lead","V9",4430701.83927487
2017-05-01,"lead","V9",4807508.5523563
2017-06-01,"lead","V9",5172340.33692023
2017-07-01,"lead","V9",5623007.75620082
2017-08-01,"lead","V9",6105604.27335622
2017-09-01,"lead","V9",6548481.17951773
2017-10-01,"lead","V9",7024169.32390862
2017-11-01,"lead","V9",7577187.05881967
2017-12-01,"lead","V9",8119849.97223303
2018-01-01,"lead","V9",8320369.75383883
2018-02-01,"lead","V9",8578005.83667897
2018-03-01,"lead","V9",8878813.76462882
2018-04-01,"lead","V9",9159166.43210787
2018-05-01,"lead","V9",9462798.7100117
2018-06-01,"lead","V9",9682746.93029942
2018-07-01,"lead","V9",10044495.9412477
2018-08-01,"lead","V9",10453914.2710884
2018-09-01,"lead","V9",10735198.8982797
2018-10-01,"lead","V9",11036302.4257071
2018-11-01,"lead","V9",11366239.5303299
2018-12-01,"lead","V9",11819915.261114
2016-01-01,"lead","V10",987840
2016-02-01,"lead","V10",1099626.73473901
2016-03-01,"lead","V10",1224747.55386076
2016-04-01,"lead","V10",1356128.91147677
2016-05-01,"lead","V10",1509565.17629073
2016-06-01,"lead","V10",1688857.50374883
2016-07-01,"lead","V10",1880351.69015412
2016-08-01,"lead","V10",2091785.71172773
2016-09-01,"lead","V10",2327789.68834256
2016-10-01,"lead","V10",2586009.53212912
2016-11-01,"lead","V10",2880829.15466559
2016-12-01,"lead","V10",3234443.93478973
2017-01-01,"lead","V10",3492265.65790612
2017-02-01,"lead","V10",3795889.10740886
2017-03-01,"lead","V10",4112746.90327799
2017-04-01,"lead","V10",4435688.73352774
2017-05-01,"lead","V10",4774811.90807148
2017-06-01,"lead","V10",5197796.29978619
2017-07-01,"lead","V10",5632087.07287716
2017-08-01,"lead","V10",6111325.00060042
2017-09-01,"lead","V10",6635396.05592565
2017-10-01,"lead","V10",7126396.50701138
2017-11-01,"lead","V10",7700382.67544775
2017-12-01,"lead","V10",8342310.21519774
2018-01-01,"lead","V10",8510827.45847206
2018-02-01,"lead","V10",8698624.23270083
2018-03-01,"lead","V10",9005585.07239572
2018-04-01,"lead","V10",9226268.13966485
2018-05-01,"lead","V10",9493431.60775741
2018-06-01,"lead","V10",9829016.58379018
2018-07-01,"lead","V10",10117788.2133893
2018-08-01,"lead","V10",10453623.2721547
2018-09-01,"lead","V10",10729805.5346075
2018-10-01,"lead","V10",11064176.1365192
2018-11-01,"lead","V10",11458396.2029716
2018-12-01,"lead","V10",11797266.8550448
2016-01-01,"lead","V11",987840
2016-02-01,"lead","V11",1098927.23597591
2016-03-01,"lead","V11",1224634.32873469
2016-04-01,"lead","V11",1364241.24620176
2016-05-01,"lead","V11",1525013.79718053
2016-06-01,"lead","V11",1709485.1542949
2016-07-01,"lead","V11",1900147.59514819
2016-08-01,"lead","V11",2110790.55154725
2016-09-01,"lead","V11",2335671.34054427
2016-10-01,"lead","V11",2599265.87164635
2016-11-01,"lead","V11",2869013.48822837
2016-12-01,"lead","V11",3194714.42267595
2017-01-01,"lead","V11",3490697.7876019
2017-02-01,"lead","V11",3787717.79150504
2017-03-01,"lead","V11",4113866.86820511
2017-04-01,"lead","V11",4450819.95879959
2017-05-01,"lead","V11",4790316.94445682
2017-06-01,"lead","V11",5128427.35030744
2017-07-01,"lead","V11",5567489.93921887
2017-08-01,"lead","V11",5993342.30724948
2017-09-01,"lead","V11",6499604.67257014
2017-10-01,"lead","V11",7011517.24102771
2017-11-01,"lead","V11",7649507.14705981
2017-12-01,"lead","V11",8285784.05324487
2018-01-01,"lead","V11",8568185.95426938
2018-02-01,"lead","V11",8812023.64065876
2018-03-01,"lead","V11",8996013.63786585
2018-04-01,"lead","V11",9244549.07616822
2018-05-01,"lead","V11",9494315.84479003
2018-06-01,"lead","V11",9767290.42619829
2018-07-01,"lead","V11",10042821.5540404
2018-08-01,"lead","V11",10289314.3963089
2018-09-01,"lead","V11",10606998.6564705
2018-10-01,"lead","V11",10903609.9296479
2018-11-01,"lead","V11",11183210.5795196
2018-12-01,"lead","V11",11536485.8077321
2016-01-01,"lead","V12",987840
2016-02-01,"lead","V12",1102811.86704508
2016-03-01,"lead","V12",1224956.71067137
2016-04-01,"lead","V12",1365943.85988683
2016-05-01,"lead","V12",1518600.54740276
2016-06-01,"lead","V12",1694008.52816528
2016-07-01,"lead","V12",1883204.30622421
2016-08-01,"lead","V12",2110288.85053351
2016-09-01,"lead","V12",2344787.21751808
2016-10-01,"lead","V12",2587434.44068947
2016-11-01,"lead","V12",2868737.14159744
2016-12-01,"lead","V12",3211647.32297537
2017-01-01,"lead","V12",3460202.18547362
2017-02-01,"lead","V12",3706964.76957876
2017-03-01,"lead","V12",3997024.40070344
2017-04-01,"lead","V12",4319109.62399833
2017-05-01,"lead","V12",4633285.89457228
2017-06-01,"lead","V12",5012782.91577379
2017-07-01,"lead","V12",5459237.23763388
2017-08-01,"lead","V12",5868994.41155989
2017-09-01,"lead","V12",6336134.63308681
2017-10-01,"lead","V12",6868577.50880918
2017-11-01,"lead","V12",7351177.46248914
2017-12-01,"lead","V12",7909454.8017571
2018-01-01,"lead","V12",8202268.75158093
2018-02-01,"lead","V12",8462969.52825015
2018-03-01,"lead","V12",8758705.40528918
2018-04-01,"lead","V12",9025092.75505861
2018-05-01,"lead","V12",9345813.66561594
2018-06-01,"lead","V12",9604823.26878963
2018-07-01,"lead","V12",9883324.04419692
2018-08-01,"lead","V12",10159025.0477637
2018-09-01,"lead","V12",10402292.1979686
2018-10-01,"lead","V12",10640810.100626
2018-11-01,"lead","V12",11034507.5320265
2018-12-01,"lead","V12",11366046.8019462
2016-01-01,"lead","V13",987840
2016-02-01,"lead","V13",1101332.75993324
2016-03-01,"lead","V13",1224411.3770877
2016-04-01,"lead","V13",1355515.55892674
2016-05-01,"lead","V13",1515480.88553155
2016-06-01,"lead","V13",1679675.91770788
2016-07-01,"lead","V13",1881392.02386901
2016-08-01,"lead","V13",2088905.5450488
2016-09-01,"lead","V13",2319747.08337436
2016-10-01,"lead","V13",2584145.78045642
2016-11-01,"lead","V13",2864998.38928882
2016-12-01,"lead","V13",3185924.26761026
2017-01-01,"lead","V13",3435929.25208383
2017-02-01,"lead","V13",3736818.49025667
2017-03-01,"lead","V13",4014951.83034865
2017-04-01,"lead","V13",4333633.21500991
2017-05-01,"lead","V13",4700968.45514591
2017-06-01,"lead","V13",5080661.74410771
2017-07-01,"lead","V13",5516896.38465449
2017-08-01,"lead","V13",5983981.48667326
2017-09-01,"lead","V13",6461520.35905317
2017-10-01,"lead","V13",6978556.67634544
2017-11-01,"lead","V13",7519496.02580838
2017-12-01,"lead","V13",8199170.0124281
2018-01-01,"lead","V13",8446830.77536591
2018-02-01,"lead","V13",8710093.1010436
2018-03-01,"lead","V13",8990346.47340649
2018-04-01,"lead","V13",9226193.42301328
2018-05-01,"lead","V13",9510699.88987066
2018-06-01,"lead","V13",9814731.50704735
2018-07-01,"lead","V13",10164033.8833988
2018-08-01,"lead","V13",10406046.5783224
2018-09-01,"lead","V13",10646842.5291819
2018-10-01,"lead","V13",10956398.5753385
2018-11-01,"lead","V13",11215252.1499446
2018-12-01,"lead","V13",11542462.6630088
2016-01-01,"lead","V14",987840
2016-02-01,"lead","V14",1111602.74094061
2016-03-01,"lead","V14",1239330.04540287
2016-04-01,"lead","V14",1378263.13850612
2016-05-01,"lead","V14",1529644.45028252
2016-06-01,"lead","V14",1699001.70836589
2016-07-01,"lead","V14",1891655.91571085
2016-08-01,"lead","V14",2092691.30291468
2016-09-01,"lead","V14",2301659.89768829
2016-10-01,"lead","V14",2562097.51666015
2016-11-01,"lead","V14",2858326.57996278
2016-12-01,"lead","V14",3179115.35378023
2017-01-01,"lead","V14",3445243.62562298
2017-02-01,"lead","V14",3729688.82884675
2017-03-01,"lead","V14",4000405.8117176
2017-04-01,"lead","V14",4320923.68202281
2017-05-01,"lead","V14",4679099.00171521
2017-06-01,"lead","V14",5028408.0711222
2017-07-01,"lead","V14",5470437.43729267
2017-08-01,"lead","V14",5883521.03984962
2017-09-01,"lead","V14",6347451.94064841
2017-10-01,"lead","V14",6885056.79118643
2017-11-01,"lead","V14",7451288.37487323
2017-12-01,"lead","V14",8039892.59999171
2018-01-01,"lead","V14",8289217.59512587
2018-02-01,"lead","V14",8509251.72410507
2018-03-01,"lead","V14",8745486.25754807
2018-04-01,"lead","V14",9075861.28737307
2018-05-01,"lead","V14",9306642.43153862
2018-06-01,"lead","V14",9613176.00066055
2018-07-01,"lead","V14",9828380.1102266
2018-08-01,"lead","V14",10142650.5988489
2018-09-01,"lead","V14",10427632.3573886
2018-10-01,"lead","V14",10797641.9336045
2018-11-01,"lead","V14",11082718.5516859
2018-12-01,"lead","V14",11368639.5735548
2016-01-01,"lead","V15",987840
2016-02-01,"lead","V15",1110012.94476668
2016-03-01,"lead","V15",1226971.68070553
2016-04-01,"lead","V15",1383331.0638595
2016-05-01,"lead","V15",1541202.19206182
2016-06-01,"lead","V15",1726805.61221489
2016-07-01,"lead","V15",1918195.31342266
2016-08-01,"lead","V15",2143192.36793895
2016-09-01,"lead","V15",2382119.42797908
2016-10-01,"lead","V15",2633151.2467788
2016-11-01,"lead","V15",2912334.16078115
2016-12-01,"lead","V15",3220149.7779364
2017-01-01,"lead","V15",3471224.67600753
2017-02-01,"lead","V15",3753781.25739536
2017-03-01,"lead","V15",4039818.40615704
2017-04-01,"lead","V15",4385797.60706934
2017-05-01,"lead","V15",4750934.13324785
2017-06-01,"lead","V15",5193902.12392078
2017-07-01,"lead","V15",5629574.03968682
2017-08-01,"lead","V15",6059725.24173335
2017-09-01,"lead","V15",6534206.57666929
2017-10-01,"lead","V15",7065647.72666944
2017-11-01,"lead","V15",7654027.97863901
2017-12-01,"lead","V15",8310621.66859394
2018-01-01,"lead","V15",8575481.04578451
2018-02-01,"lead","V15",8808442.73685621
2018-03-01,"lead","V15",9046859.76869914
2018-04-01,"lead","V15",9269235.12819602
2018-05-01,"lead","V15",9496360.21940274
2018-06-01,"lead","V15",9750454.13449633
2018-07-01,"lead","V15",10018378.8909668
2018-08-01,"lead","V15",10317523.2753563
2018-09-01,"lead","V15",10606361.8447077
2018-10-01,"lead","V15",10923641.3194922
2018-11-01,"lead","V15",11281983.7704359
2018-12-01,"lead","V15",11670270.0936317
2016-01-01,"lead","V16",987840
2016-02-01,"lead","V16",1100829.34775465
2016-03-01,"lead","V16",1230795.677447
2016-04-01,"lead","V16",1372546.11966537
2016-05-01,"lead","V16",1522071.10894057
2016-06-01,"lead","V16",1703378.23998364
2016-07-01,"lead","V16",1884443.22806072
2016-08-01,"lead","V16",2113535.71749121
2016-09-01,"lead","V16",2328475.85871453
2016-10-01,"lead","V16",2584121.07050504
2016-11-01,"lead","V16",2906093.00407446
2016-12-01,"lead","V16",3235191.78073977
2017-01-01,"lead","V16",3496958.80056792
2017-02-01,"lead","V16",3771609.61289389
2017-03-01,"lead","V16",4091016.45542902
2017-04-01,"lead","V16",4402287.88233475
2017-05-01,"lead","V16",4777550.31741415
2017-06-01,"lead","V16",5164514.85043182
2017-07-01,"lead","V16",5590171.52011468
2017-08-01,"lead","V16",6067304.38380125
2017-09-01,"lead","V16",6548517.51347027
2017-10-01,"lead","V16",7101211.2619883
2017-11-01,"lead","V16",7716941.49124624
2017-12-01,"lead","V16",8340761.99517171
2018-01-01,"lead","V16",8625706.16970237
2018-02-01,"lead","V16",8829190.51595402
2018-03-01,"lead","V16",9102186.75959284
2018-04-01,"lead","V16",9366681.99615964
2018-05-01,"lead","V16",9646444.5018902
2018-06-01,"lead","V16",9889373.15335242
2018-07-01,"lead","V16",10227713.9693136
2018-08-01,"lead","V16",10481285.4326999
2018-09-01,"lead","V16",10734251.9560732
2018-10-01,"lead","V16",11043469.2261915
2018-11-01,"lead","V16",11387959.8003869
2018-12-01,"lead","V16",11754925.7584605
2016-01-01,"lead","V17",987840
2016-02-01,"lead","V17",1111625.21754208
2016-03-01,"lead","V17",1246966.08869774
